,Nome,Valor
297,['Sinete Arcano\nArcane Signet'],"['R$ 5,77']"
298,['Mochila de Carga\nBag of Holding'],"['R$ 0,20']"
299,['Colar de Basilisco\nBasilisk Collar'],"['R$ 5,95']"
300,['Lâmina dos Egos\nBlade of Selves'],"['R$ 34,75']"
301,['Morsa de Bronze\nBronze Walrus'],"['R$ 0,44']"
302,['Cervo Brunido\nBurnished Hart'],"['R$ 0,60']"
303,['Fogueira\nCampfire'],"['R$ 1,89']"
304,['Diamante de Carvão\nCharcoal Diamond'],"['R$ 0,49']"
305,['Dragão de Chardalyn\nChardalyn Dragon'],"['R$ 0,44']"
306,['Manto do Morcego\nCloak of the Bat'],"['R$ 0,44']"
307,['Raposa Mecânica\nClockwork Fox'],"['R$ 0,44']"
308,['Garrafa da Água Infinita\nDecanter of Endless Water'],"['R$ 0,44']"
309,['Mímico Atroz\nDire Mimic'],"['R$ 0,44']"
310,['Toupeira de Perfuração\nDrillworks Mole'],"['R$ 1,88']"
311,"[""Kit do Explorador de Masmorras\nDungeoneer's Pack""]","['R$ 1,95']"
312,['Diamante de Fogo\nFire Diamond'],"['R$ 0,49']"
313,['Corda Puída\nFraying Line'],"['R$ 7,74']"
314,['Colosso do Portão\nGate Colossus'],"['R$ 0,22']"
315,['Golem do Geodo\nGeode Golem'],"['R$ 2,92']"
316,['Mastim de Ferro\nIron Mastiff'],"['R$ 0,95']"
317,['Lanterna Reveladora\nLantern of Revealing'],"['R$ 0,44']"
318,['Chave Múltipla\nManifold Key'],"['R$ 0,80']"
319,['Diamante de Mármore\nMarble Diamond'],"['R$ 0,49']"
320,['Duodrone em Marcha\nMarching Duodrone'],"['R$ 0,44']"
321,['Marut'],"['R$ 0,44']"
322,['Golem Meteórico\nMeteor Golem'],"['R$ 0,25']"
323,['Servo Poderoso de Leuk-o\nMighty Servant of Leuk-o'],"['R$ 5,95']"
324,['Pedra da Mente\nMind Stone'],"['R$ 1,90']"
325,['Espelho do Aprisionamento\nMirror of Life Trapping'],"['R$ 14,94']"
326,['Diamante de Limo\nMoss Diamond'],"['R$ 0,21']"
327,['Nave Nautiloide\nNautiloid Ship'],"['R$ 28,84']"
328,['Orbe de Navegação\nNavigation Orb'],"['R$ 0,44']"
329,['Diagrama de Autômato Leve\nNimblewright Schematic'],"['R$ 0,45']"
330,"[""Bolsa de Nobre\nNoble's Purse""]","['R$ 1,85']"
331,"[""Selo de Patriar\nPatriar's Seal""]","['R$ 2,88']"
332,"[""Olho do Peregrino\nPilgrim's Eye""]","['R$ 0,05']"
333,['Estátua Cobiçada\nPrized Statue'],"['R$ 0,44']"
334,['Prisma Profético\nProphetic Prism'],"['R$ 0,14']"
335,['Tapete Sufocador\nRug of Smothering'],"['R$ 1,95']"
336,['Diamante Celeste\nSky Diamond'],"['R$ 0,50']"
337,['Cristal do Orador das Pedras\nStonespeaker Crystal'],"['R$ 2,49']"
